Название;Продавец;URL;Дата;Цена;Номер;Описание;Регион;Город;Доп.параметры;Фото;Категория;Column1
R17 225/50 Зимние;.;https://www.myparts.ge/ru/pr/12367190/;17.10.2023;150.00;995577517944;;Аджария;Батуми;Диаметр (R)=17|Ширина шины=225|Высота шины=50|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1017/12367190_1.jpg,https://static.my.ge/myparts/photos/thumbs/1017/12367190_2.jpg;Шины;
R17 225/50 Летние;.;https://www.myparts.ge/ru/pr/12367196/;17.10.2023;150.00;995577517944;წყვილი 150ლ.;Аджария;Батуми;Диаметр (R)=17|Ширина шины=225|Высота шины=50|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1017/12367196_1.jpg,https://static.my.ge/myparts/photos/thumbs/1017/12367196_2.jpg,https://static.my.ge/myparts/photos/thumbs/1017/12367196_3.jpg;Шины;
R20 245/45 Зимние;Aleksei;https://www.myparts.ge/ru/pr/12344249/;16.10.2023;676.30;995599123564;Michelin X-Ice North 4 SUV 245/45 R20 103T Extra Load Studded tires Set 4 pcs In a very good condition;Аджария;Батуми;марка=MICHELIN|Страна производитель=Венгрия|Диаметр (R)=20|Ширина шины=245|Высота шины=45|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0910/12344249_1.jpg,https://static.my.ge/myparts/photos/thumbs/0910/12344249_2.jpg,https://static.my.ge/myparts/photos/thumbs/0910/12344249_3.jpg,https://static.my.ge/myparts/photos/thumbs/0910/12344249_4.jpg,https://static.my.ge/myparts/photos/thumbs/0910/12344249_5.jpg;Шины;
R19 275/35 Летние;Edo;https://www.myparts.ge/ru/pr/12360051/;06.10.2023;800.00;995577425872;michelin ბათუმში;Аджария;Батуми;марка=MICHELIN|Страна производитель=Германия|Диаметр (R)=19|Ширина шины=275|Высота шины=35|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1006/12360051_1.jpg,https://static.my.ge/myparts/photos/thumbs/1006/12360051_2.jpg,https://static.my.ge/myparts/photos/thumbs/1006/12360051_3.jpg,https://static.my.ge/myparts/photos/thumbs/1006/12360051_4.jpg,https://static.my.ge/myparts/photos/thumbs/1006/12360051_5.jpg,https://static.my.ge/myparts/photos/thumbs/1006/12360051_6.jpg;Шины;
R19 225/35 Всесезонные;Irakli;https://www.myparts.ge/ru/pr/12362733/;10.10.2023;600.00;995591405920;გავლილი აქვს 1000 კმ;Аджария;Батуми;Страна производитель=Китай|Диаметр (R)=19|Ширина шины=225|Высота шины=35|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1010/12362733_1.jpg;Шины;
R19 245/40 Всесезонные;Irakli;https://www.myparts.ge/ru/pr/12362738/;10.10.2023;120.00;995591405920;;Аджария;Батуми;марка=YOKOHAMA|Страна производитель=Япония|Диаметр (R)=19|Ширина шины=245|Высота шины=40|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1010/12362738_1.jpg,https://static.my.ge/myparts/photos/thumbs/1010/12362738_2.jpg;Шины;
R19 225/45 Зимние;Niko;https://www.myparts.ge/ru/pr/12365966/;15.10.2023;1,700.00;995555223463;Практически новая зимняя резина TOYO 225/45R19 Snowprox s945. Производство: Япония. В идеальном состоянии. Подходят Mazda 6, Buick Encore, Nissan Juke (2019-2022)Qashqai (2014-2022)Rogue Sport (2020-2022), Toyota C-HR, Skoda Karoq и тд.;Аджария;Батуми;марка=TOYO|Страна производитель=Япония|Диаметр (R)=19|Ширина шины=225|Высота шины=45|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1015/12365966_1.jpg,https://static.my.ge/myparts/photos/thumbs/1015/12365966_2.jpg,https://static.my.ge/myparts/photos/thumbs/1015/12365966_3.jpg;Шины;
R14 175/70 Зимние;Serj;https://www.myparts.ge/ru/pr/12367545/;17.10.2023;100.00;995591027871;4 покрышки за 100 лари;Аджария;Батуми;марка=NOKIAN|Страна производитель=Германия|Диаметр (R)=14|Ширина шины=175|Высота шины=70|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1017/12367545_1.jpg,https://static.my.ge/myparts/photos/thumbs/1017/12367545_2.jpg,https://static.my.ge/myparts/photos/thumbs/1017/12367545_3.jpg,https://static.my.ge/myparts/photos/thumbs/1017/12367545_4.jpg,https://static.my.ge/myparts/photos/thumbs/1017/12367545_5.jpg;Шины;
R17 205/55 Зимние;Vlad;https://www.myparts.ge/ru/pr/12366518/;16.10.2023;700.00;995511240121;Один сезон. Как новые. Без проколов и порезов.;Аджария;Батуми;марка=PETLAS|Страна производитель=Турция|Диаметр (R)=17|Ширина шины=205|Высота шины=55|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1016/12366518_1.jpg,https://static.my.ge/myparts/photos/thumbs/1016/12366518_2.jpg,https://static.my.ge/myparts/photos/thumbs/1016/12366518_3.jpg,https://static.my.ge/myparts/photos/thumbs/1016/12366518_4.jpg;Шины;
R20 275/65 Зимние;Сандро;https://www.myparts.ge/ru/pr/12366574/;16.10.2023;1,300.00;995555019944;Продам Покрышки Зима 275/65/R20 Пользовался только один сезон Шипованые Продам за 1500 лари Или обменяю на новые 215/65/R18 Тел Сандро;Аджария;Батуми;Диаметр (R)=20|Ширина шины=275|Высота шины=65|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1016/12366574_1.jpg,https://static.my.ge/myparts/photos/thumbs/1016/12366574_2.jpg,https://static.my.ge/myparts/photos/thumbs/1016/12366574_3.jpg,https://static.my.ge/myparts/photos/thumbs/1016/12366574_4.jpg,https://static.my.ge/myparts/photos/thumbs/1016/12366574_5.jpg,https://static.my.ge/myparts/photos/thumbs/1016/12366574_6.jpg,https://static.my.ge/myparts/photos/thumbs/1016/12366574_7.jpg,https://static.my.ge/myparts/photos/thumbs/1016/12366574_8.jpg,https://static.my.ge/myparts/photos/thumbs/1016/12366574_9.jpg,https://static.my.ge/myparts/photos/thumbs/1016/12366574_10.jpg;Шины;
R17 225/65 Всесезонные;Batumski;https://www.myparts.ge/ru/pr/12371068/;23.10.2023;150.00;995595009631;მხოლოდ საბურავები.;Аджария;Батуми;марка=FIRESTONE|Страна производитель=США|Диаметр (R)=17|Ширина шины=225|Высота шины=65|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1023/12371068_1.jpg,https://static.my.ge/myparts/photos/thumbs/1023/12371068_2.jpg,https://static.my.ge/myparts/photos/thumbs/1023/12371068_3.jpg,https://static.my.ge/myparts/photos/thumbs/1023/12371068_4.jpg;Шины;
R16 205/65 Всесезонные;Zviadi;https://www.myparts.ge/ru/pr/12364823/;13.10.2023;120.00;995558657443;იყიდება მეორადი საბურავები მოხსნილია კამრიდან 2ზომები ფასი ოთხივეს ერთად 150 ლარი;Аджария;Батуми;Диаметр (R)=16|Ширина шины=205|Высота шины=65|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1013/12364823_1.jpg,https://static.my.ge/myparts/photos/thumbs/1013/12364823_2.jpg,https://static.my.ge/myparts/photos/thumbs/1013/12364823_3.jpg,https://static.my.ge/myparts/photos/thumbs/1013/12364823_4.jpg,https://static.my.ge/myparts/photos/thumbs/1013/12364823_5.jpg,https://static.my.ge/myparts/photos/thumbs/1013/12364823_6.jpg,https://static.my.ge/myparts/photos/thumbs/1013/12364823_7.jpg,https://static.my.ge/myparts/photos/thumbs/1013/12364823_8.jpg,https://static.my.ge/myparts/photos/thumbs/1013/12364823_9.jpg,https://static.my.ge/myparts/photos/thumbs/1013/12364823_10.jpg;Шины;
R17 225/60 Зимние;Ikrakli;https://www.myparts.ge/ru/pr/12244257/;10.10.2023;1,000.00;995593176805;225/60-R17 ბრიჯსტოუნ ბლიზაკები იდეალურები 90%. ჩამოყვა მანქანას.;Аджария;Батуми;Страна производитель=Япония|Диаметр (R)=17|Ширина шины=225|Высота шины=60|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0416/12244257_1.jpg,https://static.my.ge/myparts/photos/thumbs/0416/12244257_2.jpg,https://static.my.ge/myparts/photos/thumbs/0416/12244257_3.jpg;Шины;
R20 275/40 Летние;Karen;https://www.myparts.ge/ru/pr/12362202/;09.10.2023;600.00;995571181172;იყიდება იაპონური მწარმოებლის TOYO-ს მეორადი საზაფხულო საბურავების ნაკრები. საბურავის ზომა წინა: 275/40/R20/106W უკანა: 315/35/R 20/110W. კომპლექტის ფასი: 600 ლარი. საბურავები მდებარეობს ბათუმში. Продается комплект подержанных летних шин японского производителя TOYO. Размер шин: Передние: 275/40/R20/106W Задние: 315/35/R 20/110W. Цена за комлект: 600 лари. Шины находятся в Батуми. Самовывоз.;Аджария;Батуми;марка=TOYO|Страна производитель=Япония|Диаметр (R)=20|Ширина шины=275|Высота шины=40|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1009/12362202_1.jpg,https://static.my.ge/myparts/photos/thumbs/1009/12362202_2.jpg,https://static.my.ge/myparts/photos/thumbs/1009/12362202_3.jpg,https://static.my.ge/myparts/photos/thumbs/1009/12362202_4.jpg,https://static.my.ge/myparts/photos/thumbs/1009/12362202_5.jpg,https://static.my.ge/myparts/photos/thumbs/1009/12362202_6.jpg,https://static.my.ge/myparts/photos/thumbs/1009/12362202_7.jpg;Шины;
R18 215/55 Зимние;Kakha;https://www.myparts.ge/ru/pr/12367282/;17.10.2023;720.00;995577165255;საბურავები არის იდეალურ მდგომარეობაში ფაქტიურად ახლები. გავლილი აქვს 500-600 კილომეტრი;Аджария;Батуми;Страна производитель=Китай|Диаметр (R)=18|Ширина шины=215|Высота шины=55|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1017/12367282_1.jpg,https://static.my.ge/myparts/photos/thumbs/1017/12367282_2.jpg,https://static.my.ge/myparts/photos/thumbs/1017/12367282_3.jpg,https://static.my.ge/myparts/photos/thumbs/1017/12367282_4.jpg,https://static.my.ge/myparts/photos/thumbs/1017/12367282_5.jpg;Шины;
R17 255/60 Зимние;LLLLLLLLLLL;https://www.myparts.ge/ru/pr/12361242/;08.10.2023;1,550.00;995555408035;255/60/r17 4 ცალი სულ ახლები. MADE IN IAPONIA;Аджария;Батуми;марка=BRIDGESTONE|Страна производитель=Япония|Диаметр (R)=17|Ширина шины=255|Высота шины=60|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1008/12361242_1.jpg;Шины;
R17 255/60 Зимние;LLLLLLLLLLL;https://www.myparts.ge/ru/pr/12361051/;07.10.2023;1,550.00;995555408035;იყიდება ბრიჯსტოუნის ბლიზაკები 4 ცალი საბურავი სულ ახლები...255/60/r17.....არის რეზინები და ზამთრის..MADE IN IAPONIA..;Аджария;Батуми;марка=BRIDGESTONE|Страна производитель=Япония|Диаметр (R)=17|Ширина шины=255|Высота шины=60|Сезон=Зимние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1007/12361051_1.jpg;Шины;
R20 245/40 Летние;Luka;https://www.myparts.ge/ru/pr/12363774/;11.10.2023;500.00;995571164689;ახალივითაა, გერმანიიდან ჩამოყვა დისკებს.;Аджария;Батуми;марка=MICHELIN|Страна производитель=Китай|Диаметр (R)=20|Ширина шины=245|Высота шины=40|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1011/12363774_1.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363774_2.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363774_3.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363774_4.jpg;Шины;
R17 245/65 Всесезонные;Mamuka;https://www.myparts.ge/ru/pr/12368378/;18.10.2023;300.00;995595806497;არის კარგ მდგომარეობაში არ ააქვს დაზიანება არანაირი;Аджария;Батуми;Диаметр (R)=17|Ширина шины=245|Высота шины=65|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1018/12368378_1.jpg,https://static.my.ge/myparts/photos/thumbs/1018/12368378_2.jpg,https://static.my.ge/myparts/photos/thumbs/1018/12368378_3.jpg;Шины;
R17 245/65 Всесезонные;Mamuka;https://www.myparts.ge/ru/pr/12356946/;01.10.2023;300.00;995595806497;არის კარგ მდგომარეობაში არ არი გაჭრილი და ნაწეპი;Аджария;Батуми;Диаметр (R)=17|Ширина шины=245|Высота шины=65|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1001/12356946_1.jpg,https://static.my.ge/myparts/photos/thumbs/1001/12356946_2.jpg,https://static.my.ge/myparts/photos/thumbs/1001/12356946_3.jpg,https://static.my.ge/myparts/photos/thumbs/1001/12356946_4.jpg;Шины;
R17 225/45 Всесезонные;Saba;https://www.myparts.ge/ru/pr/12365780/;14.10.2023;120.00;995568647270;აის ახალი 225/45 R17;Аджария;Батуми;Страна производитель=США|Диаметр (R)=17|Ширина шины=225|Высота шины=45|Сезон=Всесезонные|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1014/12365780_1.jpg,https://static.my.ge/myparts/photos/thumbs/1014/12365780_2.jpg,https://static.my.ge/myparts/photos/thumbs/1014/12365780_3.jpg;Шины;
R21 275/45 Всесезонные;gio;https://www.myparts.ge/ru/pr/12365262/;13.10.2023;250.00;995598867829;2ც საბურავი 2018წ;Самцхе-Джавахетия;Боржоми;Диаметр (R)=21|Ширина шины=275|Высота шины=45|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1013/12365262_1.jpg,https://static.my.ge/myparts/photos/thumbs/1013/12365262_2.jpg;Шины;
R16 275/70 Зимние;soso;https://www.myparts.ge/ru/pr/12368212/;18.10.2023;550.00;995599303319;4 ცალი 60-70 %;Самцхе-Джавахетия;Боржоми;марка=BRIDGESTONE|Диаметр (R)=16|Ширина шины=275|Высота шины=70|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1018/12368212_1.jpg,https://static.my.ge/myparts/photos/thumbs/1018/12368212_2.jpg,https://static.my.ge/myparts/photos/thumbs/1018/12368212_3.jpg,https://static.my.ge/myparts/photos/thumbs/1018/12368212_4.jpg,https://static.my.ge/myparts/photos/thumbs/1018/12368212_5.jpg;Шины;
R16 195/55 Всесезонные;Mamuka;https://www.myparts.ge/ru/pr/12369889/;20.10.2023;2,500.00;995599726276;SILVERSTONE;Самцхе-Джавахетия;Боржоми;марка=CONTINENTAL|Страна производитель=Польша|Диаметр (R)=16|Ширина шины=195|Высота шины=55|Сезон=Всесезонные|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1020/12369889_1.jpg,https://static.my.ge/myparts/photos/thumbs/1020/12369889_2.jpg,https://static.my.ge/myparts/photos/thumbs/1020/12369889_3.jpg,https://static.my.ge/myparts/photos/thumbs/1020/12369889_4.jpg,https://static.my.ge/myparts/photos/thumbs/1020/12369889_5.jpg,https://static.my.ge/myparts/photos/thumbs/1020/12369889_6.jpg,https://static.my.ge/myparts/photos/thumbs/1020/12369889_7.jpg;Шины;
R16 195/45 Зимние;0;https://www.myparts.ge/ru/pr/12335594/;20.10.2023;140.00;995574003573;ჩამოგიტანთ თბილისში;Шида-Картли;Гори;Страна производитель=Германия|Диаметр (R)=16|Ширина шины=195|Высота шины=45|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0826/12335594_1.jpg,https://static.my.ge/myparts/photos/thumbs/0826/12335594_2.jpg,https://static.my.ge/myparts/photos/thumbs/0826/12335594_3.jpg,https://static.my.ge/myparts/photos/thumbs/0826/12335594_4.jpg,https://static.my.ge/myparts/photos/thumbs/0826/12335594_5.jpg;Шины;
R16 195/75 Всесезонные;0;https://www.myparts.ge/ru/pr/12361439/;20.10.2023;320.00;995574003573;ჩამოგიტანთ თბილისში;Шида-Картли;Гори;марка=NEXEN|Страна производитель=Германия|Диаметр (R)=16|Ширина шины=195|Высота шины=75|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1008/12361439_1.jpg,https://static.my.ge/myparts/photos/thumbs/1008/12361439_2.jpg,https://static.my.ge/myparts/photos/thumbs/1008/12361439_3.jpg,https://static.my.ge/myparts/photos/thumbs/1008/12361439_4.jpg,https://static.my.ge/myparts/photos/thumbs/1008/12361439_5.jpg;Шины;
R16 215/65 Зимние;0;https://www.myparts.ge/ru/pr/12361433/;20.10.2023;300.00;995574003573;ჩამოგიტანთ თბილისში;Шида-Картли;Гори;марка=GOODYEAR|Страна производитель=Германия|Диаметр (R)=16|Ширина шины=215|Высота шины=65|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1008/12361433_1.jpg,https://static.my.ge/myparts/photos/thumbs/1008/12361433_2.jpg,https://static.my.ge/myparts/photos/thumbs/1008/12361433_3.jpg,https://static.my.ge/myparts/photos/thumbs/1008/12361433_4.jpg,https://static.my.ge/myparts/photos/thumbs/1008/12361433_5.jpg;Шины;
R18 225/40 Летние;0;https://www.myparts.ge/ru/pr/12335598/;02.10.2023;120.00;995574003573;მოგაწვდით თბილისში;Шида-Картли;Гори;марка=CONTINENTAL|Страна производитель=Германия|Диаметр (R)=18|Ширина шины=225|Высота шины=40|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0826/12335598_1.jpg,https://static.my.ge/myparts/photos/thumbs/0826/12335598_2.jpg,https://static.my.ge/myparts/photos/thumbs/0826/12335598_3.jpg,https://static.my.ge/myparts/photos/thumbs/0826/12335598_4.jpg,https://static.my.ge/myparts/photos/thumbs/0826/12335598_5.jpg;Шины;
R20 245/35 Всесезонные;0;https://www.myparts.ge/ru/pr/12315997/;06.10.2023;400.00;995550500040;თითქმის ახლებივითაა;Шида-Картли;Гори;Диаметр (R)=20|Ширина шины=245|Высота шины=35|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0726/12315997_1.jpg,https://static.my.ge/myparts/photos/thumbs/0726/12315997_2.jpg,https://static.my.ge/myparts/photos/thumbs/0726/12315997_3.jpg,https://static.my.ge/myparts/photos/thumbs/0726/12315997_4.jpg,https://static.my.ge/myparts/photos/thumbs/0726/12315997_5.jpg,https://static.my.ge/myparts/photos/thumbs/0726/12315997_6.jpg,https://static.my.ge/myparts/photos/thumbs/0726/12315997_7.jpg,https://static.my.ge/myparts/photos/thumbs/0726/12315997_8.jpg,https://static.my.ge/myparts/photos/thumbs/0726/12315997_9.jpg,https://static.my.ge/myparts/photos/thumbs/0726/12315997_10.jpg,https://static.my.ge/myparts/photos/thumbs/0726/12315997_11.jpg,https://static.my.ge/myparts/photos/thumbs/0726/12315997_12.jpg;Шины;
R15 195/70 Летние;Gio;https://www.myparts.ge/ru/pr/12366632/;16.10.2023;300.00;995598587875;;Шида-Картли;Гори;Диаметр (R)=15|Ширина шины=195|Высота шины=70|Сезон=Летние|Состояние=Новые;https://static.my.ge/myparts/photos/thumbs/1016/12366632_1.jpg,https://static.my.ge/myparts/photos/thumbs/1016/12366632_2.jpg,https://static.my.ge/myparts/photos/thumbs/1016/12366632_3.jpg;Шины;
R16 215/65 Всесезонные;goga;https://www.myparts.ge/ru/pr/12366366/;15.10.2023;350.00;995551701660;იყიდება გუდიარის 4 ერთნაირი საბურავი, 215/65/R16. არის დაახლოებით 70% და არის იდეალურები. საბურავებბი არის ფიფქიანი MS. ფასი 350 ლარი. ტ:;Шида-Картли;Гори;Страна производитель=США|Диаметр (R)=16|Ширина шины=215|Высота шины=65|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1015/12366366_1.jpg,https://static.my.ge/myparts/photos/thumbs/1015/12366366_2.jpg;Шины;
R15 185/60 Летние;Aleksandre;https://www.myparts.ge/ru/pr/12250494/;02.10.2023;100.00;995574003573;2010 წლიანი. ვიზუალურად არ აქვს არანაირი დეფექტი;Шида-Картли;Гори;марка=BRIDGESTONE|Страна производитель=Германия|Диаметр (R)=15|Ширина шины=185|Высота шины=60|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0425/12250494_1.jpg,https://static.my.ge/myparts/photos/thumbs/0425/12250494_2.jpg,https://static.my.ge/myparts/photos/thumbs/0425/12250494_3.jpg,https://static.my.ge/myparts/photos/thumbs/0425/12250494_4.jpg;Шины;
