Название;Продавец;URL;Дата;Цена;Номер;Описание;Регион;Город;Доп.параметры;Фото;Категория
R17 ACURA MDX 2003-2020;ლადო;https://www.myparts.ge/ru/pr/11910149/;15.12.2023;600;995551757117;დისკების მდგომარეობა არის კარგი ,საბურავები ნორმალურია. დისკების გადახვრეტა 5/120 და მიდის აკურას 6ს მოდელზე, გარდა ამისა მიდის ბევრ მოდელზე 5/120 .;Грузия;Тбилиси;Ширина (J)=8|Диаметр (R)=17|Ширина шины=235|Высота шины=55|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0926/11910149_1.jpg,https://static.my.ge/myparts/photos/thumbs/0926/11910149_2.jpg,https://static.my.ge/myparts/photos/thumbs/0926/11910149_3.jpg,https://static.my.ge/myparts/photos/thumbs/0926/11910149_4.jpg,https://static.my.ge/myparts/photos/thumbs/0926/11910149_5.jpg;Диски и шины в комплекте
R19 BMW 320 / 525 / Z3 / Z4 / 428;daviti;https://www.myparts.ge/ru/pr/11914767/;15.12.2023;2000;995596007050;SALE!!!5/120,R-19,J-9/5 da 8/5,ET-35/30..BMW.19//235/35..ORIGINAL GERMANY!!!KESKIN-is ფირმის ორიგინალი გერმანული იდეალური 19 იანი დედალ მამალი დისკები,ჩამოტანილია ევროპიდან,უნაკლოა..მიდის ბევრ 5 ბოლტიან მოდელზე 5/120 ზე..გვაქვს დიდი არჩევანი ორიგინალი ახალი და მეორადი დისკების..ნახეთ ყველა განცხადება..ისანი,ქეთევან წამებულის გამზირი 71ბ..,;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 120|Ширина (J)=9.5|Диаметр (R)=19|Ширина шины=255|Высота шины=30|Вылет (ET)=E 35|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1005/11914767_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/11914767_2.jpg,https://static.my.ge/myparts/photos/thumbs/1005/11914767_3.jpg,https://static.my.ge/myparts/photos/thumbs/1005/11914767_4.jpg,https://static.my.ge/myparts/photos/thumbs/1005/11914767_5.jpg,https://static.my.ge/myparts/photos/thumbs/1005/11914767_6.jpg,https://static.my.ge/myparts/photos/thumbs/1005/11914767_7.jpg,https://static.my.ge/myparts/photos/thumbs/1005/11914767_8.jpg,https://static.my.ge/myparts/photos/thumbs/1005/11914767_9.jpg,https://static.my.ge/myparts/photos/thumbs/1005/11914767_10.jpg,https://static.my.ge/myparts/photos/thumbs/1005/11914767_11.jpg,https://static.my.ge/myparts/photos/thumbs/1005/11914767_12.jpg;Диски и шины в комплекте
R20 BMW 550 / 650 / 750 / X5 / X6;დათო;https://www.myparts.ge/ru/pr/11916158/;15.12.2023;946.82;995577962351;"არის მხოლოდ 2 ცალი, წაიკითხეთ ყურადღებით!!!! ორიგინალი VOSSEN CV-3 2 ცალი 300$. უკანა; R20 5X120 10.5 JJ ET38 საბურავი, 285/30 350$ წინა; R20 5X120 9.5 JJ ET25 საბურავი 245/35 ფასი არის ბოლო... დარეკეთ ამ ნომერზე; 5 9 3 4 0 6 4 0 6";Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 120|Ширина (J)=10.5|Диаметр (R)=20|Ширина шины=245|Высота шины=30|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1008/11916158_1.jpg,https://static.my.ge/myparts/photos/thumbs/1008/11916158_2.jpg,https://static.my.ge/myparts/photos/thumbs/1008/11916158_3.jpg,https://static.my.ge/myparts/photos/thumbs/1008/11916158_4.jpg,https://static.my.ge/myparts/photos/thumbs/1008/11916158_5.jpg,https://static.my.ge/myparts/photos/thumbs/1008/11916158_6.jpg,https://static.my.ge/myparts/photos/thumbs/1008/11916158_7.jpg,https://static.my.ge/myparts/photos/thumbs/1008/11916158_8.jpg,https://static.my.ge/myparts/photos/thumbs/1008/11916158_9.jpg,https://static.my.ge/myparts/photos/thumbs/1008/11916158_10.jpg;Диски и шины в комплекте
R20 LEXUS / MERCEDES-BENZ;.;https://www.myparts.ge/ru/pr/11917157/;15.12.2023;2164.16;995577962351;"იყიდება ორიგინალი დისკების კომპლექტი საბურავებით Wald Mahora R20 5X114.3/ 5-112 წინა; 8.5 JJ საბურავი 225/35. უკანა 9.5 JJ საბურავი 245/35 ფასი ბოლოა.. დარეკეთ ამ ნომერზე; 5 9 3 4 0 6 4 0 6";Грузия;Тбилиси;Ширина (J)=9.5|Диаметр (R)=20|Ширина шины=245|Высота шины=35|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1010/11917157_1.jpg,https://static.my.ge/myparts/photos/thumbs/1010/11917157_2.jpg,https://static.my.ge/myparts/photos/thumbs/1010/11917157_3.jpg,https://static.my.ge/myparts/photos/thumbs/1010/11917157_4.jpg,https://static.my.ge/myparts/photos/thumbs/1010/11917157_5.jpg,https://static.my.ge/myparts/photos/thumbs/1010/11917157_6.jpg,https://static.my.ge/myparts/photos/thumbs/1010/11917157_7.jpg,https://static.my.ge/myparts/photos/thumbs/1010/11917157_8.jpg,https://static.my.ge/myparts/photos/thumbs/1010/11917157_9.jpg;Диски и шины в комплекте
R18 BMW X5 2000-2020;ლადო;https://www.myparts.ge/ru/pr/11939139/;15.12.2023;5;995551757117;დისკები და საბურავების კომლექტის მდგომარეობა არის ძალიან კარგი ,აბნევია ოთხივე ერთნაირი საბურავები დისკები არის განიერი 8,5ჯ სიგანის,გარდა 18 იანი გვაქვს 19 იანი და 20 დის.და შაბ. კომპლექტი;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 120|Ширина (J)=8.5|Диаметр (R)=18|Ширина шины=225|Высота шины=55|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1118/11939139_1.jpg,https://static.my.ge/myparts/photos/thumbs/1118/11939139_2.jpg,https://static.my.ge/myparts/photos/thumbs/1118/11939139_3.jpg,https://static.my.ge/myparts/photos/thumbs/1118/11939139_4.jpg,https://static.my.ge/myparts/photos/thumbs/1118/11939139_5.jpg,https://static.my.ge/myparts/photos/thumbs/1118/11939139_6.jpg,https://static.my.ge/myparts/photos/thumbs/1118/11939139_7.jpg,https://static.my.ge/myparts/photos/thumbs/1118/11939139_8.jpg,https://static.my.ge/myparts/photos/thumbs/1118/11939139_9.jpg,https://static.my.ge/myparts/photos/thumbs/1118/11939139_10.jpg,https://static.my.ge/myparts/photos/thumbs/1118/11939139_11.jpg,https://static.my.ge/myparts/photos/thumbs/1118/11939139_12.jpg;Диски и шины в комплекте
R19 AUDI / MERCEDES-BENZ / SKODA / VOLKSWAGEN;daviti;https://www.myparts.ge/ru/pr/11943827/;15.12.2023;18;995596007050;SALE!!!ევროპიდან ჩამოტანილი იდეალური 19 იანი დისკები,მიდის ბევრ 5 ბოლტიან ევროპულ მოდელზე 5/112 ზე..ნახეთ ყველა განცხადება,გვაქვს დიდი არჩევანი ორიგინალი დისკების..ისანი,ქეთევან წამებულის გამზირი 71ბ..,;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 112|Ширина (J)=8|Диаметр (R)=19|Ширина шины=225|Высота шины=40|Вылет (ET)=E 35|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1127/11943827_1.jpg,https://static.my.ge/myparts/photos/thumbs/1127/11943827_2.jpg,https://static.my.ge/myparts/photos/thumbs/1127/11943827_3.jpg,https://static.my.ge/myparts/photos/thumbs/1127/11943827_4.jpg,https://static.my.ge/myparts/photos/thumbs/1127/11943827_5.jpg,https://static.my.ge/myparts/photos/thumbs/1127/11943827_6.jpg,https://static.my.ge/myparts/photos/thumbs/1127/11943827_7.jpg,https://static.my.ge/myparts/photos/thumbs/1127/11943827_8.jpg,https://static.my.ge/myparts/photos/thumbs/1127/11943827_9.jpg,https://static.my.ge/myparts/photos/thumbs/1127/11943827_10.jpg,https://static.my.ge/myparts/photos/thumbs/1127/11943827_11.jpg;Диски и шины в комплекте
R18 AUDI / MERCEDES-BENZ / SKODA / VOLKSWAGEN;daviti;https://www.myparts.ge/ru/pr/11953873/;15.12.2023;16;995596007050;SALE!!!ევროპიდან ჩამოტანილი იდეალური 18 იანი დისკები,მიდის ბევრ 5 ბოლტიან ევროპულ მოდელზე 5/112 ზე..ნახეთ ყველა განცხადება,გვაქვს დიდი არჩევანი ორიგინალი დისკების..ისანი,ქეთევან დედოფლის გამზირი 71ბ..,;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 112|Ширина (J)=8.5|Диаметр (R)=18|Ширина шины=235|Высота шины=45|Вылет (ET)=E 35|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1215/11953873_1.jpg,https://static.my.ge/myparts/photos/thumbs/1215/11953873_2.jpg,https://static.my.ge/myparts/photos/thumbs/1215/11953873_3.jpg,https://static.my.ge/myparts/photos/thumbs/1215/11953873_4.jpg,https://static.my.ge/myparts/photos/thumbs/1215/11953873_5.jpg,https://static.my.ge/myparts/photos/thumbs/1215/11953873_6.jpg,https://static.my.ge/myparts/photos/thumbs/1215/11953873_7.jpg,https://static.my.ge/myparts/photos/thumbs/1215/11953873_8.jpg,https://static.my.ge/myparts/photos/thumbs/1215/11953873_9.jpg,https://static.my.ge/myparts/photos/thumbs/1215/11953873_10.jpg,https://static.my.ge/myparts/photos/thumbs/1215/11953873_11.jpg,https://static.my.ge/myparts/photos/thumbs/1215/11953873_12.jpg;Диски и шины в комплекте
R19 CHRYSLER / FORD / HONDA / HYUNDAI / KIA / LEXUS / MAZDA / MITSUBISHI / NISSAN / SUBARU / TOYOTA;daviti;https://www.myparts.ge/ru/pr/11958773/;15.12.2023;19;995596007050;SALE!!!5/ 5/115..DODGE,CADILLAC,PONTIAC,CHRYSLER,BUICK,OPEL,CHEVROLET,VAUXHALL..ORIGINAL GERMANY!!!19/225/45..ევროპიდან ჩამოტანილი იდეალური 19 იანი ორიგინალი გერმანული დისკები.მიდის ბევრ ამერიკულ,იაპონურ,ევროპულ და კორეულ მოდელებზე..ნახეთ ყველა განცხადება,გვაქვს დიდი არჩევანი ორიგინალი დისკების..ისანი,ქეთევან წამებულის გამზირი 71ბ...,;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 114.3|Ширина (J)=8|Диаметр (R)=19|Ширина шины=225|Высота шины=45|Вылет (ET)=E 40|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1224/11958773_1.jpg,https://static.my.ge/myparts/photos/thumbs/1224/11958773_2.jpg,https://static.my.ge/myparts/photos/thumbs/1224/11958773_3.jpg,https://static.my.ge/myparts/photos/thumbs/1224/11958773_4.jpg,https://static.my.ge/myparts/photos/thumbs/1224/11958773_5.jpg,https://static.my.ge/myparts/photos/thumbs/1224/11958773_6.jpg,https://static.my.ge/myparts/photos/thumbs/1224/11958773_7.jpg,https://static.my.ge/myparts/photos/thumbs/1224/11958773_8.jpg,https://static.my.ge/myparts/photos/thumbs/1224/11958773_9.jpg,https://static.my.ge/myparts/photos/thumbs/1224/11958773_10.jpg,https://static.my.ge/myparts/photos/thumbs/1224/11958773_11.jpg,https://static.my.ge/myparts/photos/thumbs/1224/11958773_12.jpg;Диски и шины в комплекте
R18 MERCEDES-BENZ A 180 / C 200 / CLK 200 / CLS 350 / E 200 / CLA 180 / SLK 250;გიორგი;https://www.myparts.ge/ru/pr/11959608/;15.12.2023;1499.98;995597141819;18-ანი Borbet Original Germany მარკის დისკებია,ტავის საბურავებიტ მიდის ბევრ 5 ბოლტიან ევროპულ მოდელზე 5/112 ზე, იხილეტ ყველა განცხადება,გვაქვს დიდი არჩევანი ახალი და მეორადი ორიგინალი დისკების. ან მობრდზანდიტ და შეგირჩევტ ტკვენს გემოვნებაზე და ტკვენს აუტომანკანაზე შესაპერის დისკებს მისამარტია ისანი,ქეთევან წამებუ�;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 112|Ширина (J)=8|Диаметр (R)=18|Ширина шины=225|Высота шины=40|Вылет (ET)=E 40|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1226/11959608_1.jpg,https://static.my.ge/myparts/photos/thumbs/1226/11959608_2.jpg,https://static.my.ge/myparts/photos/thumbs/1226/11959608_3.jpg,https://static.my.ge/myparts/photos/thumbs/1226/11959608_4.jpg,https://static.my.ge/myparts/photos/thumbs/1226/11959608_5.jpg,https://static.my.ge/myparts/photos/thumbs/1226/11959608_6.jpg,https://static.my.ge/myparts/photos/thumbs/1226/11959608_7.jpg,https://static.my.ge/myparts/photos/thumbs/1226/11959608_8.jpg,https://static.my.ge/myparts/photos/thumbs/1226/11959608_9.jpg,https://static.my.ge/myparts/photos/thumbs/1226/11959608_10.jpg,https://static.my.ge/myparts/photos/thumbs/1226/11959608_11.jpg,https://static.my.ge/myparts/photos/thumbs/1226/11959608_12.jpg;Диски и шины в комплекте
R18 BMW X5 M 1998-2020;ლადო;https://www.myparts.ge/ru/pr/11960082/;15.12.2023;5;995551757117;დისკების მდგომარეობა არის ძალიან კარგი ზედ აბნევია 18 წლის საბურავები ,იყიდება ორივე ან ცალ ცალკე , გვაქვს აგრეთვე მეორე 18 დისკ და საბურავების კომპლეტი ,აგრეთვე ძალიან კარგ მდგომარეობაში. გვაქს 19 და 20 დის. და შაბ. კომპლექტი ნახეთ ყველა განცხადება...;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 120|Ширина (J)=8.5|Диаметр (R)=18|Ширина шины=250|Высота шины=55|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1227/11960082_1.jpg,https://static.my.ge/myparts/photos/thumbs/1227/11960082_2.jpg,https://static.my.ge/myparts/photos/thumbs/1227/11960082_3.jpg,https://static.my.ge/myparts/photos/thumbs/1227/11960082_4.jpg,https://static.my.ge/myparts/photos/thumbs/1227/11960082_5.jpg,https://static.my.ge/myparts/photos/thumbs/1227/11960082_6.jpg,https://static.my.ge/myparts/photos/thumbs/1227/11960082_7.jpg,https://static.my.ge/myparts/photos/thumbs/1227/11960082_8.jpg,https://static.my.ge/myparts/photos/thumbs/1227/11960082_9.jpg,https://static.my.ge/myparts/photos/thumbs/1227/11960082_10.jpg,https://static.my.ge/myparts/photos/thumbs/1227/11960082_11.jpg;Диски и шины в комплекте
R19 AUDI / MERCEDES-BENZ / VOLKSWAGEN;daviti;https://www.myparts.ge/ru/pr/11969293/;15.12.2023;2000;995596007050;SALE!!!ORIGINAL GERMANY!!!ALUTEC ის ფირმის ორიგინალი გერმანული იდეალური 19 იანი დისკები..მიდის ბევრ 5 ბოლტიან მოდელზე 5/112 ზე..ნახეთ ყველა განცხადება,გვაქვს დიდი არჩევანი ორიგინალი ახალი და მეორადი დისკების..ისანი,ქეთევან დედოფლის გამზირი 71ბ..,;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 112|Ширина (J)=8|Диаметр (R)=19|Ширина шины=235|Высота шины=35|Вылет (ET)=E 45|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0116/11969293_1.jpg,https://static.my.ge/myparts/photos/thumbs/0116/11969293_2.jpg,https://static.my.ge/myparts/photos/thumbs/0116/11969293_3.jpg,https://static.my.ge/myparts/photos/thumbs/0116/11969293_4.jpg,https://static.my.ge/myparts/photos/thumbs/0116/11969293_5.jpg,https://static.my.ge/myparts/photos/thumbs/0116/11969293_6.jpg,https://static.my.ge/myparts/photos/thumbs/0116/11969293_7.jpg,https://static.my.ge/myparts/photos/thumbs/0116/11969293_8.jpg,https://static.my.ge/myparts/photos/thumbs/0116/11969293_9.jpg,https://static.my.ge/myparts/photos/thumbs/0116/11969293_10.jpg,https://static.my.ge/myparts/photos/thumbs/0116/11969293_11.jpg;Диски и шины в комплекте
R20 CADILLAC / CHEVROLET / TOYOTA;daviti;https://www.myparts.ge/ru/pr/11971757/;15.12.2023;25;995596007050;SALE!!!5/120,R-20,J-8/5,ET-35..20/245/35..BMW,TESLA,CHEVROLET,CADILLAC..ORIGINAL EUROPE!!!!MONACO- ოს ფირმის ორიგინალი ევროპული 20 იანი დისკები,ჩამოტანილი გერმანიიდან,უნაკლოა..მიდის ბევრ 5 ბოლტიან მოდელზე 5/120 ზე..ნახეთ ყველა განცხადება..გვაქვს დიდი არჩევანი ორიგინალი დისკების..ისანი,ქეთევან დედოფლის გამზირი 71ბ..,;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 112|Ширина (J)=8.5|Диаметр (R)=20|Ширина шины=245|Высота шины=35|Вылет (ET)=E 35|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0120/11971757_1.jpg,https://static.my.ge/myparts/photos/thumbs/0120/11971757_2.jpg,https://static.my.ge/myparts/photos/thumbs/0120/11971757_3.jpg,https://static.my.ge/myparts/photos/thumbs/0120/11971757_4.jpg,https://static.my.ge/myparts/photos/thumbs/0120/11971757_5.jpg,https://static.my.ge/myparts/photos/thumbs/0120/11971757_6.jpg,https://static.my.ge/myparts/photos/thumbs/0120/11971757_7.jpg,https://static.my.ge/myparts/photos/thumbs/0120/11971757_8.jpg,https://static.my.ge/myparts/photos/thumbs/0120/11971757_9.jpg,https://static.my.ge/myparts/photos/thumbs/0120/11971757_10.jpg,https://static.my.ge/myparts/photos/thumbs/0120/11971757_11.jpg,https://static.my.ge/myparts/photos/thumbs/0120/11971757_12.jpg;Диски и шины в комплекте
R16 AUDI / OPEL / SKODA / VOLKSWAGEN;daviti;https://www.myparts.ge/ru/pr/11973992/;15.12.2023;800;995596007050;SALE!!!ევროპიდან ჩამოტანილი იდეალური 16 იანი დისკები,კარგი საბურავებით.მიდის ბევრ 5 ბოლტიან მოდელზე 5/112 ზე..ნახეთ ყველა განცხადება,გვაქვს დიდი არჩევანი ორიგინალი დისკების..ისანი,ქეთევან დედოფლის გამზირი 71ბ..,;Грузия;Тбилиси;Диаметр расположения крепежных отверстий (PCD)=5 X 112|Ширина (J)=7|Диаметр (R)=16|Ширина шины=215|Высота шины=60|Вылет (ET)=E 45|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0124/11973992_1.jpg,https://static.my.ge/myparts/photos/thumbs/0124/11973992_2.jpg,https://static.my.ge/myparts/photos/thumbs/0124/11973992_3.jpg,https://static.my.ge/myparts/photos/thumbs/0124/11973992_4.jpg,https://static.my.ge/myparts/photos/thumbs/0124/11973992_5.jpg,https://static.my.ge/myparts/photos/thumbs/0124/11973992_6.jpg,https://static.my.ge/myparts/photos/thumbs/0124/11973992_7.jpg,https://static.my.ge/myparts/photos/thumbs/0124/11973992_8.jpg,https://static.my.ge/myparts/photos/thumbs/0124/11973992_9.jpg,https://static.my.ge/myparts/photos/thumbs/0124/11973992_10.jpg,https://static.my.ge/myparts/photos/thumbs/0124/11973992_11.jpg,https://static.my.ge/myparts/photos/thumbs/0124/11973992_12.jpg;Диски и шины в комплекте
